"hgnc_symbol","ensembl_gene_id"
"ANKRD30BP3","ENSG00000275985"
"ANKRD30BP3","ENSG00000230501"
"APOOP5","ENSG00000260240"
"ATP6AP1L","ENSG00000205464"
"BASP1P1","ENSG00000230535"
"BEND3P3","ENSG00000278616"
"BOK-AS1","ENSG00000234235"
"C11orf54","ENSG00000182919"
"CCNT2-AS1","ENSG00000224043"
"CETN4P","ENSG00000224786"
"CNTNAP3P2","ENSG00000276386"
"DCAF13P3","ENSG00000259378"
"DLGAP1-AS1","ENSG00000177337"
"DNM1P35","ENSG00000246877"
"DPH3P1","ENSG00000233838"
"DPPA2P3","ENSG00000224403"
"FRMPD3-AS1","ENSG00000227610"
"FUNDC2P2","ENSG00000182814"
"FUT8-AS1","ENSG00000276116"
"GLRA4","ENSG00000188828"
"GSTA7P","ENSG00000237674"
"GSTTP2","ENSG00000281310"
"GUCY2EP","ENSG00000204529"
"HAR1A","ENSG00000225978"
"HMGA1P7","ENSG00000216753"
"ITFG1-AS1","ENSG00000260281"
"KATNBL1P6","ENSG00000228283"
"KDM4A-AS1","ENSG00000236200"
"LINC00235","ENSG00000282485"
"LINC00235","ENSG00000277142"
"LINC00331","ENSG00000225427"
"LINC00342","ENSG00000232931"
"LINC00368","ENSG00000225870"
"LINC00380","ENSG00000234625"
"LINC00437","ENSG00000236354"
"LINC00526","ENSG00000264575"
"LINC00603","ENSG00000250048"
"LINC00895","ENSG00000281548"
"LINC00920","ENSG00000246898"
"LINC00938","ENSG00000273015"
"LINC01049","ENSG00000234384"
"LINC01081","ENSG00000268754"
"LINC01150","ENSG00000288317"
"LINC01150","ENSG00000229671"
"LINC01160","ENSG00000231346"
"LINC01181","ENSG00000250929"
"LINC01187","ENSG00000249601"
"LINC01219","ENSG00000288486"
"LINC01219","ENSG00000232987"
"LINC01242","ENSG00000280683"
"LINC01311","ENSG00000260924"
"LINC01338","ENSG00000281327"
"LINC01341","ENSG00000227953"
"LINC01440","ENSG00000235166"
"LINC01496","ENSG00000234766"
"LINC01532","ENSG00000267014"
"LINC01560","ENSG00000196741"
"MAGEA8-AS1","ENSG00000230899"
"MID1IP1-AS1","ENSG00000238123"
"MIF-AS1","ENSG00000218537"
"MIF-AS1","ENSG00000281335"
"MKRN9P","ENSG00000258128"
"MORF4L2-AS1","ENSG00000231154"
"NBPF22P","ENSG00000205449"
"NCAM1-AS1","ENSG00000227487"
"NOP14-AS1","ENSG00000249673"
"NUDT9P1","ENSG00000234043"
"PABPC1P2","ENSG00000198526"
"PDCD4-AS1","ENSG00000203497"
"PLAC4","ENSG00000280109"
"PRKAG2-AS1","ENSG00000239911"
"PRORY","ENSG00000183146"
"PRR34","ENSG00000182257"
"RBMY3AP","ENSG00000291444"
"RBMY3AP","ENSG00000231436"
"RPS15AP10","ENSG00000225447"
"RSU1P2","ENSG00000232554"
"SAMD12-AS1","ENSG00000281641"
"SDC4P","ENSG00000214161"
"SGMS1-AS1","ENSG00000226200"
"SH3GL1P2","ENSG00000264943"
"SH3RF3-AS1","ENSG00000259863"
"SLC8A1-AS1","ENSG00000227028"
"SNHG9","ENSG00000291945"
"SNHG9","ENSG00000255198"
"SNORD119","ENSG00000310768"
"SNORD75","ENSG00000310748"
"SNRPD2P2","ENSG00000223982"
"STAG3L2","ENSG00000277072"
"TCERG1L-AS1","ENSG00000230098"
"TCP10L2","ENSG00000166984"
"TMCO5B","ENSG00000215296"
"TMSB4XP1","ENSG00000236876"
"TREML5P","ENSG00000225690"
"TRIM51HP","ENSG00000166007"
"TTC3P1","ENSG00000215105"
"TTTY18","ENSG00000233699"
"TYMSOS","ENSG00000176912"
"TYRO3P","ENSG00000259581"
"URB1-AS1","ENSG00000256073"
"YY1P2","ENSG00000229104"
"ZNF818P","ENSG00000269001"
